language,filename,blank,comment,code,"http://cloc.sourceforge.net v 1.64  T=10.28 s (340.1 files/s, 34997.0 lines/s)"
YAML,./test/integration/targets/loops/tasks/main.yml,55,20,332
Python,./test/units/plugins/callback/test_callback.py,63,21,332
PowerShell,./test/support/windows-integration/plugins/modules/win_lineinfile.ps1,71,48,331
Python,./lib/ansible/modules/command.py,45,25,331
Python,./test/lib/ansible_test/_util/target/sanity/import/importer.py,109,123,331
Python,./test/support/windows-integration/plugins/action/win_copy.py,73,119,330
C#,./lib/ansible/module_utils/csharp/Ansible.Privilege.cs,53,63,327
Python,./lib/ansible/plugins/connection/paramiko_ssh.py,115,171,325
Python,./lib/ansible/playbook/block.py,64,30,325
Python,./lib/ansible/plugins/inventory/__init__.py,83,55,324
Python,./lib/ansible/plugins/strategy/linear.py,75,66,323
Python,./test/units/module_utils/urls/test_Request.py,128,5,323
Python,./test/units/template/test_templar.py,72,50,323
Python,./test/units/module_utils/common/arg_spec/test_validate_valid.py,9,5,321
Python,./lib/ansible/galaxy/dependency_resolution/dataclasses.py,80,29,318
Python,./test/lib/ansible_test/_internal/test.py,116,49,317
Python,./lib/ansible/modules/service_facts.py,47,23,314
Python,./test/support/network-integration/collections/ansible_collections/cisco/ios/plugins/cliconf/ios.py,60,91,314
Python,./lib/ansible/modules/blockinfile.py,45,7,313
Python,./lib/ansible/plugins/callback/default.py,87,36,313
Python,./lib/ansible/module_utils/facts/virtual/linux.py,49,44,312
YAML,./test/integration/targets/roles_arg_spec/test.yml,42,5,309
Python,./test/lib/ansible_test/_internal/python_requirements.py,136,60,308
Python,./lib/ansible/parsing/dataloader.py,93,67,308
Python,./test/units/utils/test_plugin_docs.py,8,19,306
Python,./lib/ansible/cli/vault.py,117,59,305
YAML,./test/integration/targets/test_core/tasks/main.yml,44,1,304
Python,./hacking/azp/incidental.py,120,42,303
Python,./lib/ansible/cli/inventory.py,91,26,301
Python,./test/support/integration/plugins/modules/pkgng.py,84,23,299
Python,./lib/ansible/executor/task_queue_manager.py,84,75,297
Python,./test/units/executor/test_play_iterator.py,47,149,296
Python,./test/lib/ansible_test/_internal/docker_util.py,125,70,294
PowerShell,./test/support/windows-integration/plugins/modules/win_copy.ps1,57,53,293
YAML,./test/integration/targets/apt/tasks/repo.yml,54,5,293
Python,./test/support/integration/plugins/inventory/docker_swarm.py,32,28,291
Python,./test/lib/ansible_test/_internal/util_common.py,115,55,290
YAML,./test/integration/targets/user/tasks/test_local_expires.yml,36,8,289
PowerShell,./test/support/windows-integration/plugins/modules/win_user_right.ps1,54,7,288
Bourne Shell,./test/integration/targets/ansible-vault/runme.sh,151,112,288
Python,./lib/ansible/modules/sysvinit.py,45,33,286
PowerShell,./test/lib/ansible_test/_util/target/setup/ConfigureRemotingForAnsible.ps1,57,78,285
YAML,./test/integration/targets/known_hosts/tasks/main.yml,64,29,284
YAML,./test/integration/targets/find/tasks/main.yml,55,23,284
Python,./test/lib/ansible_test/_internal/host_configs.py,110,95,284
Python,./test/units/cli/test_cli.py,70,30,281
PowerShell,./test/integration/targets/module_utils_Ansible.ModuleUtils.AddType/library/add_type_test.ps1,42,10,280
Python,./test/units/plugins/inventory/test_constructed.py,34,26,277
YAML,./test/integration/targets/filter_mathstuff/tasks/main.yml,32,11,277
Python,./lib/ansible/cli/pull.py,57,24,276
Python,./lib/ansible/executor/powershell/module_manifest.py,72,54,276
Python,./lib/ansible/module_utils/common/validation.py,140,164,274
YAML,./test/integration/targets/group/tasks/tests.yml,51,19,273
Python,./test/units/playbook/test_helpers.py,56,52,273
Python,./lib/ansible/modules/replace.py,40,7,269
Python,./lib/ansible/galaxy/role.py,50,89,269
YAML,./test/integration/targets/cron/tasks/main.yml,56,4,268
Python,./test/units/utils/test_version.py,59,10,266
Python,./test/lib/ansible_test/_internal/commands/integration/coverage.py,105,45,266
Python,./lib/ansible/modules/known_hosts.py,54,39,266
YAML,./test/integration/targets/uri/tasks/redirect-none.yml,29,2,265
YAML,./test/integration/targets/set_fact/set_fact_cached_1.yml,60,0,264
Python,./lib/ansible/cli/scripts/ansible_connection_cli_stub.py,65,25,261
Python,./lib/ansible/playbook/play.py,72,44,260
Python,./lib/ansible/cli/arguments/option_helpers.py,80,50,259
Bourne Shell,./test/integration/targets/ansible-galaxy/runme.sh,131,67,258
Python,./test/lib/ansible_test/_internal/commands/sanity/integration_aliases.py,100,31,258
Python,./test/support/network-integration/collections/ansible_collections/vyos/vyos/plugins/cliconf/vyos.py,52,32,258
Python,./test/lib/ansible_test/_internal/delegation.py,83,19,256
Python,./test/units/parsing/yaml/test_loader.py,94,86,256
YAML,./test/integration/targets/uri/tasks/redirect-urllib2.yml,29,11,254
YAML,./test/integration/targets/win_script/tasks/main.yml,47,18,251
Python,./test/lib/ansible_test/_internal/commands/integration/cloud/__init__.py,103,36,250
Python,./lib/ansible/plugins/cache/__init__.py,70,48,250
