module,revisions,code
lib\ansible\plugins\doc_fragments\files.py,6,74
test\integration\targets\module_utils\module_utils_test.yml,6,99
lib\ansible\executor\process\worker.py,6,140
test\integration\targets\ansible-galaxy-collection\library\setup_collections.py,6,165
lib\ansible\modules\sysvinit.py,6,286
lib\ansible\modules\async_wrapper.py,6,237
test\sanity\code-smell\docs-build.py,6,109
lib\ansible\plugins\action\package.py,6,58
test\units\executor\module_common\test_recursive_finder.py,6,85
lib\ansible\plugins\lookup\env.py,6,21
test\lib\ansible_test\_internal\classification\python.py,6,209
lib\ansible\cli\playbook.py,6,152
lib\ansible\playbook\playbook_include.py,6,111
test\integration\targets\ansible-galaxy-collection\tasks\verify.yml,6,237
lib\ansible\cli\vault.py,6,305
test\units\module_utils\basic\test_exit_json.py,6,124
test\integration\targets\roles_arg_spec\test.yml,6,309
test\integration\targets\template\runme.sh,6,15
lib\ansible\cli\console.py,6,373
test\lib\ansible_test\_internal\ci\__init__.py,6,128
lib\ansible\module_utils\csharp\Ansible.Basic.cs,6,1223
test\lib\ansible_test\_internal\venv.py,6,159
lib\ansible\playbook\role_include.py,6,108
lib\ansible\modules\import_tasks.py,6,56
test\integration\targets\copy\tasks\tests.yml,6,1866
test\utils\shippable\incidental\windows.sh,6,34
test\lib\ansible_test\_internal\io.py,6,56
lib\ansible\plugins\inventory\ini.py,6,242
lib\ansible\modules\wait_for_connection.py,6,103
lib\ansible\plugins\lookup\fileglob.py,6,34
lib\ansible\modules\fetch.py,6,111
test\integration\targets\ansible-galaxy-collection-scm\tasks\main.yml,6,48
test\units\plugins\filter\test_mathstuff.py,6,109
lib\ansible\modules\gather_facts.py,6,51
test\lib\ansible_test\_util\target\setup\bootstrap.sh,6,244
lib\ansible\plugins\lookup\config.py,5,67
lib\ansible\plugins\become\su.py,5,61
test\lib\ansible_test\_util\controller\sanity\validate-modules\validate_modules\module_args.py,5,106
test\integration\targets\group\tasks\tests.yml,5,273
lib\ansible\module_utils\yumdnf.py,5,128
lib\ansible\modules\script.py,5,94
test\units\utils\test_encrypt.py,5,156
lib\ansible\plugins\connection\__init__.py,5,186
test\integration\targets\apt\tasks\repo.yml,5,293
test\integration\targets\interpreter_discovery_python\tasks\main.yml,5,141
.azure-pipelines\scripts\report-coverage.sh,5,7
lib\ansible\galaxy\collection\concrete_artifact_manager.py,5,480
lib\ansible\plugins\callback\junit.py,5,241
lib\ansible\utils\jsonrpc.py,5,85
lib\ansible\parsing\yaml\objects.py,5,240
test\integration\targets\playbook\runme.sh,5,58
test\integration\targets\templating_lookups\runme.sh,5,5
test\integration\targets\apt_key\tasks\main.yml,5,8
docs\docsite\.templates\banner.html,5,72
.github\ISSUE_TEMPLATE\bug_report.yml,5,215
test\units\module_utils\basic\test_run_command.py,5,198
test\lib\ansible_test\_internal\classification\powershell.py,5,63
test\lib\ansible_test\_internal\commands\coverage\report.py,5,108
test\integration\targets\wait_for\tasks\main.yml,5,164
test\sanity\code-smell\test-constraints.py,5,61
lib\ansible\plugins\lookup\pipe.py,5,27
test\integration\targets\unarchive\tasks\prepare_tests.yml,5,89
test\utils\shippable\shippable.sh,5,40
test\units\module_utils\basic\test_atomic_move.py,5,155
test\integration\targets\yum_repository\tasks\main.yml,5,174
test\lib\ansible_test\_internal\classification\__init__.py,5,655
